"","time","FLOW","SALT","TEMP"
"116",1990-01-24,3.058219432,10,-0.352037168
"117",1990-01-25,2.718417272,10,-0.334862045
"118",1990-01-26,1.58574341,10,-0.305796131
"119",1990-01-27,1.359208636,10,-0.285285766
"120",1990-01-28,1.359208636,10,-0.269423404
"121",1990-01-29,1.24594125,10,-0.245394355
"122",1990-01-30,1.24594125,10,-0.204828169
"123",1990-01-31,1.132673864,10,-0.157016858
"124",1990-02-01,1.24594125,10,-0.104202954
"125",1990-02-02,1.132673864,10,-0.047835817
"126",1990-02-03,1.132673864,10,0.005928547
"127",1990-02-04,1.110020386,10,0.064990921
"128",1990-02-05,1.58574341,10,0.1016672
"129",1990-02-06,1.359208636,10,0.158463987
"130",1990-02-07,1.24594125,10,0.23772805
"131",1990-02-08,3.511288978,10,0.322978952
"132",1990-02-09,2.265347728,10,0.409963846
"133",1990-02-10,1.472476022,10,0.501667343
"134",1990-02-11,1.110020386,10,0.598218329
"135",1990-02-12,1.08736691,10,0.507354914
"136",1990-02-13,1.132673864,10,0.554644492
"137",1990-02-14,1.359208636,10,0.697016104
"138",1990-02-15,1.699010796,10,0.812672922
"139",1990-02-16,1.24594125,10,0.911221791
"140",1990-02-17,1.132673864,10,1.01453364
"141",1990-02-18,1.110020386,10,1.123925432
"142",1990-02-19,1.08736691,10,1.241245279
"143",1990-02-20,1.132673864,10,1.364002331
"144",1990-02-21,1.064713432,10,1.448145242
"145",1990-02-22,1.042059954,10,1.494831573
"146",1990-02-23,1.110020386,10,1.597349101
"147",1990-02-24,1.24594125,10,1.726342773
"148",1990-02-25,1.24594125,10,1.867436501
"149",1990-02-26,1.132673864,10,2.006698936
"150",1990-02-27,1.064713432,10,2.145622766
"151",1990-02-28,1.24594125,10,2.290283382
"152",1990-03-01,1.359208636,10,2.41792594
"153",1990-03-02,2.265347728,10,2.566651611
"154",1990-03-03,1.812278182,10,2.729969098
"155",1990-03-04,1.24594125,10,2.893167663
"156",1990-03-05,1.110020386,10,3.060413022
"157",1990-03-06,1.110020386,10,3.229197708
"158",1990-03-07,1.110020386,10,3.411338522
"159",1990-03-08,11.440006024,10,3.520740493
"160",1990-03-09,18.68911875,10,3.570160004
"161",1990-03-10,7.928717046,10,3.695593083
"162",1990-03-11,15.177829774,10,3.782588002
"163",1990-03-12,10.647134318,10,3.951885962
"164",1990-03-13,10.194064774,10,3.937801027
"165",1990-03-14,21.5208034,10,3.993568638
"166",1990-03-15,10.194064774,10,4.158157843
"167",1990-03-16,6.003171478,10,4.33822802
"168",1990-03-17,4.07762591,10,4.509419177
"169",1990-03-18,2.83168466,10,4.691824439
"170",1990-03-19,2.378615114,10,4.883653966
"171",1990-03-20,2.15208034,10,5.080561661
"172",1990-03-21,2.15208034,10,5.273856721
"173",1990-03-22,2.265347728,10,5.479245844
"174",1990-03-23,2.038812954,10,5.694357829
"175",1990-03-24,1.925545568,10,5.915729792
"176",1990-03-25,1.812278182,10,6.141273361
"177",1990-03-26,1.812278182,10,6.371535191
"178",1990-03-27,1.812278182,10,6.605333589
"179",1990-03-28,1.699010796,10,6.843179402
"180",1990-03-29,1.699010796,10,7.082176509
"181",1990-03-30,1.699010796,10,7.322141708
"182",1990-03-31,1.699010796,10,7.560866055
"183",1990-04-01,1.812278182,10,7.777148279
"184",1990-04-02,1.925545568,10,8.009489306
"185",1990-04-03,1.699010796,10,8.252303753
"186",1990-04-04,1.699010796,10,8.499830402
"187",1990-04-05,1.699010796,10,8.748014841
"188",1990-04-06,1.58574341,10,8.995524773
"189",1990-04-07,1.58574341,10,9.244462904
"190",1990-04-08,1.472476022,10,9.490532965
"191",1990-04-09,1.58574341,10,9.713589847
"192",1990-04-10,2.265347728,10,9.873643107
"193",1990-04-11,1.812278182,10,10.13458081
"194",1990-04-12,1.58574341,10,10.39175985
"195",1990-04-13,1.472476022,10,10.62343132
"196",1990-04-14,1.812278182,10,10.81808053
"197",1990-04-15,1.699010796,10,11.06505877
"198",1990-04-16,1.58574341,10,11.30603677
"199",1990-04-17,1.472476022,10,11.55467043
"200",1990-04-18,1.472476022,10,11.800358
"201",1990-04-19,1.472476022,10,12.04799116
"202",1990-04-20,1.58574341,10,12.2308192
"203",1990-04-21,1.58574341,10,12.46988328
"204",1990-04-22,1.58574341,10,12.72625925
"205",1990-04-23,1.472476022,10,12.98038654
"206",1990-04-24,1.472476022,10,13.2329221
"207",1990-04-25,1.472476022,10,13.47575415
"208",1990-04-26,1.359208636,10,13.70950224
"209",1990-04-27,1.472476022,10,13.90217707
"210",1990-04-28,1.699010796,10,14.12672823
"211",1990-04-29,1.58574341,10,14.38470531
"212",1990-04-30,1.472476022,10,14.64497487
"213",1990-05-01,1.359208636,10,14.89564484
"214",1990-05-02,1.359208636,10,15.14384542
"215",1990-05-03,1.359208636,10,15.39560884
"216",1990-05-04,1.472476022,10,15.53802678
"217",1990-05-05,1.472476022,10,15.76868536
