time,FLOW,SALT,TEMP
1990-01-09T00:00:00Z,0,0,0.68977
1990-01-10T00:00:00Z,0,0,0.731858
1990-01-11T00:00:00Z,0,0,0.943355
1990-01-12T00:00:00Z,0,0,1.364433
1990-01-13T00:00:00Z,0,0,1.581765
1990-01-14T00:00:00Z,0,0,1.182112
1990-01-15T00:00:00Z,0,0,0.745268
1990-01-16T00:00:00Z,0,0,0.512559
1990-01-17T00:00:00Z,0,0,0.092943
1990-01-18T00:00:00Z,0,0,0.911286
1990-01-19T00:00:00Z,0,0,1.269387
1990-01-20T00:00:00Z,0,0,0.768815
1990-01-21T00:00:00Z,0,0,0.492822
1990-01-22T00:00:00Z,0,0,0.493482
1990-01-23T00:00:00Z,0,0,0.471716
1990-01-24T00:00:00Z,0,0,0.494958
1990-01-25T00:00:00Z,0,0,0.496149
1990-01-26T00:00:00Z,0,0,0.893261
1990-01-27T00:00:00Z,0,0,0.789464
1990-01-28T00:00:00Z,0,0,1.301704
1990-01-29T00:00:00Z,0,0,1.35291
1990-01-30T00:00:00Z,0,0,1.047897
1990-01-31T00:00:00Z,0,0,1.237232
1990-02-01T00:00:00Z,0,0,0.443415
1990-02-02T00:00:00Z,0,0,0.393437
1990-02-03T00:00:00Z,0,0,0.348384
1990-02-04T00:00:00Z,0,0,0.924171
1990-02-05T00:00:00Z,0,0,0.810085
1990-02-06T00:00:00Z,0,0,0.681899
1990-02-07T00:00:00Z,0,0,0.737916
1990-02-08T00:00:00Z,0,0,0.477343
1990-02-09T00:00:00Z,0,0,0.42425
1990-02-10T00:00:00Z,0,0,0.909281
1990-02-11T00:00:00Z,0,0,0.651768
1990-02-12T00:00:00Z,0,0,0.443087
1990-02-13T00:00:00Z,0,0,0.402589
1990-02-14T00:00:00Z,0,0,0.618798
1990-02-15T00:00:00Z,0,0,0.351424
1990-02-16T00:00:00Z,0,0,0.124627
1990-02-17T00:00:00Z,0,0,0.704215
1990-02-18T00:00:00Z,0,0,0.812431
1990-02-19T00:00:00Z,0,0,1.210827
1990-02-20T00:00:00Z,0,0,1.330184
1990-02-21T00:00:00Z,0,0,0.86825
1990-02-22T00:00:00Z,0,0,0.211618
1990-02-23T00:00:00Z,0,0,0.268957
1990-02-24T00:00:00Z,0,0,0.433717
1990-02-25T00:00:00Z,0,0,1.052976
1990-02-26T00:00:00Z,0,0,0.843192
1990-02-27T00:00:00Z,0,0,0.614025
1990-02-28T00:00:00Z,0,0,0.946482
1990-03-01T00:00:00Z,0,0,0.746827
1990-03-02T00:00:00Z,0,0,0.517906
1990-03-03T00:00:00Z,0,0,0.817955
1990-03-04T00:00:00Z,0,0,0.422279
1990-03-05T00:00:00Z,0,0,-0.011866
1990-03-06T00:00:00Z,0,0,0.200755
1990-03-07T00:00:00Z,0,0,0.415601
1990-03-08T00:00:00Z,0,0,0.054441
1990-03-09T00:00:00Z,0,0,0.041718
1990-03-10T00:00:00Z,524401.3752,0,0.174747
1990-03-11T00:00:00Z,2880317.9009999996,0,0.015215
1990-03-12T00:00:00Z,2942586.5985,0,-0.235171
1990-03-13T00:00:00Z,2441408.7555,0,-0.225482
1990-03-14T00:00:00Z,4202966.712,0,-0.143954
1990-03-15T00:00:00Z,3619959.7800000003,0,-0.153826
1990-03-16T00:00:00Z,1644910.914,0,-0.584832
1990-03-17T00:00:00Z,725974.7451000001,0,-0.231624
1990-03-18T00:00:00Z,530806.35555,0,-0.035368
1990-03-19T00:00:00Z,135995.944545,0,0.212257
1990-03-20T00:00:00Z,332165.1036,0,0.186412
1990-03-21T00:00:00Z,789011.9834999999,0,-0.269234
1990-03-22T00:00:00Z,785064.2238,0,-0.407761
1990-03-23T00:00:00Z,43754.340675,0,0.515869
1990-03-24T00:00:00Z,105285.84979499999,0,0.694566
1990-03-25T00:00:00Z,125809.79775,0,0.673595
1990-03-26T00:00:00Z,491547.5481,0,0.185104
1990-03-27T00:00:00Z,198296.1594,0,0.340547
