time,FLOW,SALT,TEMP
1990-01-05T00:00:00Z,0.996753,35,0.623829038
1990-01-06T00:00:00Z,0.996753,35,0.564325358
1990-01-07T00:00:00Z,1.019406478,35,0.521533999
1990-01-08T00:00:00Z,1.132673864,35,0.480623024
1990-01-09T00:00:00Z,1.472476022,35,0.380822243
1990-01-10T00:00:00Z,1.58574341,35,0.30422912
1990-01-11T00:00:00Z,1.359208636,35,0.263722699
1990-01-12T00:00:00Z,1.24594125,35,0.237061269
1990-01-13T00:00:00Z,1.132673864,35,0.215851627
1990-01-14T00:00:00Z,1.132673864,35,0.171157669
1990-01-15T00:00:00Z,1.110020386,35,0.071922685
1990-01-16T00:00:00Z,1.132673864,35,-0.086083444
1990-01-17T00:00:00Z,7.928717046,35,-0.307405411
1990-01-18T00:00:00Z,3.398021592,35,-0.312315451
1990-01-19T00:00:00Z,2.265347728,35,-0.268136136
1990-01-20T00:00:00Z,1.925545568,35,-0.227372547
1990-01-21T00:00:00Z,1.812278182,35,-0.238470307
1990-01-22T00:00:00Z,1.699010796,35,-0.259254393
1990-01-23T00:00:00Z,1.925545568,35,-0.322119322
1990-01-24T00:00:00Z,3.058219432,35,-0.352037168
1990-01-25T00:00:00Z,2.718417272,35,-0.334862045
1990-01-26T00:00:00Z,1.58574341,35,-0.305796131
1990-01-27T00:00:00Z,1.359208636,35,-0.285285766
1990-01-28T00:00:00Z,1.359208636,35,-0.269423404
1990-01-29T00:00:00Z,1.24594125,35,-0.245394355
1990-01-30T00:00:00Z,1.24594125,35,-0.204828169
1990-01-31T00:00:00Z,1.132673864,35,-0.157016858
1990-02-01T00:00:00Z,1.24594125,35,-0.104202954
1990-02-02T00:00:00Z,1.132673864,35,-0.047835817
1990-02-03T00:00:00Z,1.132673864,35,0.005928547
1990-02-04T00:00:00Z,1.110020386,35,0.064990921
1990-02-05T00:00:00Z,1.58574341,35,0.1016672
1990-02-06T00:00:00Z,1.359208636,35,0.158463987
1990-02-07T00:00:00Z,1.24594125,35,0.23772805
1990-02-08T00:00:00Z,3.511288978,35,0.322978952
1990-02-09T00:00:00Z,2.265347728,35,0.409963846
1990-02-10T00:00:00Z,1.472476022,35,0.501667343
1990-02-11T00:00:00Z,1.110020386,35,0.598218329
1990-02-12T00:00:00Z,1.08736691,35,0.507354914
1990-02-13T00:00:00Z,1.132673864,35,0.554644492
1990-02-14T00:00:00Z,1.359208636,35,0.697016104
1990-02-15T00:00:00Z,1.699010796,35,0.812672922
