Date,Temp
1979-01-01,-1.0491853411219836
1979-01-02,-1.0835605159719535
1979-01-03,-1.1135205683409595
1979-01-04,-1.1392441429939595
1979-01-05,-1.1611148820520043
1979-01-06,-1.1793347425129923
1979-01-07,-1.19409665441799
1979-01-08,-1.2056368311949655
1979-01-09,-1.2140071963529522
1979-01-10,-1.2192225155440042
1979-01-11,-1.2202852609149772
1979-01-12,-1.2160482145129663
1979-01-13,-1.211894255091977
1979-01-14,-1.2107613095240026
1979-01-15,-1.2022469493179528
1979-01-16,-1.1919846725009506
1979-01-17,-1.1779624968299913
1979-01-18,-1.1558287286719633
1979-01-19,-1.1379006765269537
1979-01-20,-1.1184559823879567
1979-01-21,-1.0926766782179698
1979-01-22,-1.0608810696749629
1979-01-23,-1.0266329488469523
1979-01-24,-1.0035382447579764
1979-01-25,-0.9675718083699962
1979-01-26,-0.9270296749089653
1979-01-27,-0.8854962354610052
1979-01-28,-0.8416439476499704
1979-01-29,-0.7940560394899876
1979-01-30,-0.7428483966339741
1979-01-31,-0.6895129896209937
1979-02-01,-0.6330254431349545
1979-02-02,-0.5731684541529489
1979-02-03,-0.510605255589951
1979-02-04,-0.4452905897829851
1979-02-05,-0.37703119173596633
1979-02-06,-0.3058454103319832
1979-02-07,-0.2315470626649585
1979-02-08,-0.15383168916497425
1979-02-09,-0.07299341991398478
1979-02-10,0.013452480285025104
1979-02-11,0.1028300334040182
1979-02-12,0.18725655063400382
1979-02-13,0.2792843823310136
1979-02-14,0.3758310508339946
1979-02-15,0.47593966102704144
1979-02-16,0.5786904714429966
1979-02-17,0.6848285961719967
1979-02-18,0.7940174241730347
1979-02-19,0.9057642745769954
1979-02-20,1.0249241163660372
1979-02-21,1.1162850504880453
1979-02-22,1.207604187557024
1979-02-23,1.2316017165670132
1979-02-24,1.3599708806000308
1979-02-25,1.4847356454790201
1979-02-26,1.6072508929170226
1979-02-27,1.7355402159750497
1979-02-28,1.8721097922900185
1979-03-01,2.013298002855038
1979-03-02,2.161586895132018
1979-03-03,2.2795615641570066
1979-03-04,2.327731552156024
1979-03-05,2.4529836859340435
1979-03-06,2.595347035380996
1979-03-07,2.7366561601060084
1979-03-08,2.8774265965940344
1979-03-09,3.0314221865200466
1979-03-10,3.194688795745037
1979-03-11,3.3623158678230425
1979-03-12,3.5356383362650377
1979-03-13,3.67915803299303
1979-03-14,3.8455169373640388
1979-03-15,4.028423517817032
1979-03-16,4.211119110357004
1979-03-17,4.354155863271046
1979-03-18,4.379411999954016
1979-03-19,4.418134731426051
1979-03-20,4.5657476311570235
1979-03-21,5.1299187646210385
1979-03-22,5.210234305633037
1979-03-23,5.237626090241008
1979-03-24,5.378929820378005
1979-03-25,5.551729364074049
1979-03-26,5.754015014428035
1979-03-27,5.975215728204034
1979-03-28,6.1713491959320095
1979-03-29,6.37986331989805
1979-03-30,6.587478476364026
1979-03-31,6.820513679003
1979-04-01,7.05690648918403
1979-04-02,7.283760253785033
1979-04-03,7.5335772101209955
1979-04-04,7.790656675701996
1979-04-05,8.054581996015031
1979-04-06,8.33303797580703
1979-04-07,8.620995417426002
1979-04-08,8.918672552714042
1979-04-09,9.227335661680002
1979-04-10,9.027306161986019
1979-04-11,9.283388274279048
1979-04-12,9.535558915696015
1979-04-13,9.798211835269
1979-04-14,10.060853790966007
1979-04-15,10.323803734918044
1979-04-16,10.587710013661024
1979-04-17,10.85240187281505
1979-04-18,11.116967593085008
1979-04-19,11.380722736860037
1979-04-20,11.642273659728005
1979-04-21,11.904071018349043
1979-04-22,12.166240901895037
1979-04-23,12.429558917932013
1979-04-24,12.686437223760038
1979-04-25,12.916455517813006
1979-04-26,13.095836955391007
1979-04-27,13.32718864086803
1979-04-28,13.554262825205
1979-04-29,13.754584110447013
1979-04-30,13.974729480560995
1979-05-01,14.19921600495502
1979-05-02,14.386378865140045
1979-05-03,14.58858752460003
1979-05-04,14.811456696039045
1979-05-05,15.032435785711016
1979-05-06,15.25701362166103
1979-05-07,15.486908890428026
1979-05-08,15.719648923339037
1979-05-09,15.955768882927032
1979-05-10,16.194662770521006
1979-05-11,16.430922423226036
1979-05-12,16.671620485249036
1979-05-13,16.912935173139033
1979-05-14,17.154176807469014
1979-05-15,17.39537137230701
1979-05-16,17.637561102502048
1979-05-17,17.87320128582104
1979-05-18,18.062656263313045
1979-05-19,18.201396257328042
1979-05-20,18.43439629539705
1979-05-21,18.656899460365025
1979-05-22,18.87086344305004
1979-05-23,19.084389189460012
1979-05-24,19.30166261799002
1979-05-25,19.517584156732028
1979-05-26,19.731803288707
1979-05-27,19.943625967162006
1979-05-28,20.15409620395701
1979-05-29,20.33002468327703
1979-05-30,20.48363084800002
1979-05-31,20.688069367390028
1979-06-01,20.885407190470005
1979-06-02,21.081162846029997
1979-06-03,21.27030745056004
1979-06-04,21.461175134753034
1979-06-05,21.648692374933034
1979-06-06,21.837246397099022
1979-06-07,21.965486369508028
1979-06-08,22.126803917971017
1979-06-09,22.290399629875026
1979-06-10,22.40342808254502
1979-06-11,22.56223294362104
1979-06-12,22.72596599785402
1979-06-13,22.883788472070023
1979-06-14,23.04102043859001
1979-06-15,23.198899568296042
1979-06-16,23.35459324014704
1979-06-17,23.50464506000202
1979-06-18,23.639312598090044
1979-06-19,23.77860835516003
1979-06-20,23.869646493640005
1979-06-21,24.018884638799022
1979-06-22,24.163363884316027
1979-06-23,24.297119763683042
1979-06-24,24.42629835397804
1979-06-25,24.557678840914036
1979-06-26,24.687525645075027
1979-06-27,24.765972840876998
1979-06-28,24.829404164194045
